Ship, VacStart, Category, Itin, Occupancy, Price12, AdultPrice35, ChildPrice35, InfantPrice35, PriceTaxes, SailID
DD,02/24/2017,04A,3S,5,862.52,435.48,418.06,244.15,65.17,22759954
DD,02/24/2017,04B,3S,5,848.48,435.48,418.06,244.15,65.17,22759954
DD,02/24/2017,04C,3S,5,834.43,435.48,418.06,244.15,65.17,22759954
DD,02/24/2017,09B,3S,3,668.67,435.48,418.06,244.15,65.17,22759954
DD,02/24/2017,11A,3S,3,651.81,435.48,418.06,244.15,65.17,22759954
DD,02/27/2017,00R,4S,5,5974.90,2678.40,2571.27,1332.46,65.17,22759955
DD,02/27/2017,04A,4S,4,1337.33,636.82,611.35,352.50,65.17,22759955
DD,02/27/2017,04B,4S,4,1318.60,636.82,611.35,352.50,65.17,22759955
DD,02/27/2017,04E,4S,3,1123.81,636.82,611.35,352.50,65.17,22759955
DD,02/27/2017,05A,4S,4,1112.57,636.82,611.35,352.50,65.17,22759955
DD,02/27/2017,09B,4S,4,970.22,636.82,611.35,352.50,65.17,22759955
DD,02/27/2017,11A,4S,3,947.74,636.82,611.35,352.50,65.17,22759955
DD,03/03/2017,00R,3S,5,4284.51,1921.71,1844.84,957.54,65.17,22759956
DD,03/03/2017,04A,3S,5,828.81,429.86,412.66,241.45,65.17,22759956
DD,03/03/2017,04B,3S,5,814.76,429.86,412.66,241.45,65.17,22759956
DD,03/03/2017,04C,3S,4,800.71,429.86,412.66,241.45,65.17,22759956
DD,03/03/2017,05A,3S,4,761.38,429.86,412.66,241.45,65.17,22759956
DD,03/03/2017,06A,3S,4,708.00,429.86,412.66,241.45,65.17,22759956
DD,03/03/2017,06B,3S,4,699.57,429.86,412.66,241.45,65.17,22759956
DD,03/06/2017,04E,4S,3,1097.58,674.28,647.31,370.48,65.17,22759957
DD,03/06/2017,11A,4S,4,902.79,674.28,647.31,370.48,65.17,22759957
DD,03/06/2017,11B,4S,3,895.30,674.28,647.31,370.48,65.17,22759957
DD,03/06/2017,11C,4S,3,887.81,674.28,647.31,370.48,65.17,22759957
DD,03/10/2017,05B,3S,4,862.52,477.62,458.51,264.38,65.17,22759958
DD,03/10/2017,10A,3S,3,761.38,477.62,458.51,264.38,65.17,22759958
DD,03/10/2017,11A,3S,4,752.95,477.62,458.51,264.38,65.17,22759958
DD,03/13/2017,09B,4S,3,1341.07,936.50,899.04,496.35,65.17,22759959
DD,03/17/2017,04E,3S,3,938.38,533.81,512.46,291.35,65.17,22759960
DD,03/17/2017,05A,3S,4,929.95,533.81,512.46,291.35,65.17,22759960
DD,03/17/2017,09B,3S,4,783.86,533.81,512.46,291.35,65.17,22759960
DD,03/17/2017,10A,3S,3,778.24,533.81,512.46,291.35,65.17,22759960
DD,03/17/2017,11A,3S,3,767.00,533.81,512.46,291.35,65.17,22759960
DD,03/17/2017,11B,3S,4,761.38,533.81,512.46,291.35,65.17,22759960
DD,03/20/2017,11A,4S,3,1172.50,917.77,881.06,487.36,65.17,22759961
DD,03/20/2017,11B,4S,4,1165.01,917.77,881.06,487.36,65.17,22759961
DD,03/24/2017,04E,3S,3,809.14,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,05A,3S,4,797.90,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,05B,3S,4,786.67,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,05C,3S,3,775.43,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,08A,3S,3,744.52,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,08B,3S,4,716.43,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,08C,3S,5,710.81,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,08D,3S,4,705.19,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,09A,3S,4,699.57,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,09B,3S,4,693.95,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,09C,3S,3,691.14,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,09D,3S,4,688.33,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,10A,3S,3,685.52,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,11A,3S,4,677.10,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,11B,3S,4,671.48,477.62,458.51,264.38,65.17,22759962
DD,03/24/2017,11C,3S,3,651.81,477.62,458.51,264.38,65.17,22759962
DD,03/27/2017,11B,4S,3,1172.50,899.04,863.08,478.37,65.17,22759963
DD,03/31/2017,00R,3S,5,4565.46,2219.52,2130.74,1100.49,65.17,22759964
DD,03/31/2017,00T,3S,5,2008.81,1050.76,1008.73,539.49,65.17,22759964
DD,03/31/2017,00V,3S,5,1472.19,716.43,687.77,379.01,65.17,22759964
DD,03/31/2017,04A,3S,4,851.29,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,04B,3S,4,837.24,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,04C,3S,4,823.19,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,04E,3S,3,795.09,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,05A,3S,4,783.86,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,05B,3S,4,772.62,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,05C,3S,4,761.38,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,05D,3S,4,750.14,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,06A,3S,3,730.48,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,06B,3S,3,722.05,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,07A,3S,3,713.62,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,08B,3S,3,702.38,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,08C,3S,3,696.76,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,09B,3S,4,679.90,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,09C,3S,3,677.10,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,09D,3S,3,674.29,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,10A,3S,3,671.48,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,11A,3S,4,663.05,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,11B,3S,4,657.43,449.52,431.54,250.89,65.17,22759964
DD,03/31/2017,11C,3S,4,637.76,449.52,431.54,250.89,65.17,22759964
DD,04/03/2017,00R,4S,5,7585.69,3633.64,3488.29,1790.97,65.17,22759965
DD,04/03/2017,00T,4S,5,3465.07,1873.01,1798.09,945.87,65.17,22759965
DD,04/03/2017,11A,4S,4,1232.44,955.23,917.03,505.34,65.17,22759965
DD,04/03/2017,11B,4S,4,1224.95,955.23,917.03,505.34,65.17,22759965
DD,04/03/2017,11C,4S,4,1217.46,955.23,917.03,505.34,65.17,22759965
DD,04/07/2017,00R,3S,5,5759.51,2949.99,2831.99,1451.12,58.82,22759966
DD,04/07/2017,00T,3S,5,2595.99,1545.24,1483.43,776.83,58.82,22759966
DD,04/07/2017,04E,3S,3,955.24,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,05A,3S,4,944.00,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,05B,3S,4,932.76,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,05C,3S,4,921.52,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,05D,3S,4,910.28,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,06A,3S,3,890.62,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,06B,3S,3,882.19,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,08A,3S,3,854.09,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,08B,3S,4,848.48,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,08C,3S,4,842.86,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,09A,3S,4,831.62,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,09B,3S,4,826.00,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,09C,3S,4,823.19,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,09D,3S,4,820.38,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,10A,3S,4,817.57,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,11A,3S,4,809.14,547.86,525.94,298.09,58.82,22759966
DD,04/07/2017,11B,3S,4,803.52,547.86,525.94,298.09,58.82,22759966
DD,04/10/2017,04E,4S,3,1798.09,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,07A,4S,3,1730.66,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,08A,4S,4,1685.71,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,08B,4S,3,1663.23,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,08C,4S,4,1655.74,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,08D,4S,4,1651.99,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,09A,4S,4,1550.85,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,09B,4S,4,1543.36,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,09C,4S,3,1524.63,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,09D,4S,3,1520.88,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,11A,4S,4,1475.93,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,11B,4S,4,1468.44,992.69,952.99,523.32,58.84,22759967
DD,04/10/2017,11C,4S,3,1457.20,992.69,952.99,523.32,58.84,22759967
DD,04/14/2017,00T,3S,5,2809.52,1404.76,1264.28,667.26,58.84,22759968
DD,04/14/2017,04A,3S,5,1196.86,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,04B,3S,5,1182.81,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,04C,3S,5,1168.76,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,04D,3S,5,1154.71,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,04E,3S,4,1140.67,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,05A,3S,4,1129.43,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,05B,3S,4,1118.19,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,05C,3S,4,1106.95,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,05D,3S,4,1095.71,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,05E,3S,3,1084.47,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,06A,3S,3,1076.05,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,06B,3S,3,1067.62,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,07A,3S,3,1059.19,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,08A,3S,4,1090.09,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,08B,3S,4,1047.95,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,08C,3S,4,1042.33,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,08D,3S,3,1036.71,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,09A,3S,4,1031.09,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,09B,3S,4,1025.48,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,09C,3S,3,1022.67,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,09D,3S,4,1019.86,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,10A,3S,4,1017.05,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,11A,3S,4,1008.62,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,11B,3S,4,1003.00,592.81,550.67,310.45,58.84,22759968
DD,04/14/2017,11C,3S,3,997.38,592.81,550.67,310.45,58.84,22759968
DD,04/17/2017,00V,4S,5,2757.07,1592.06,1498.41,796.03,58.84,22759969
DD,04/17/2017,04A,4S,5,1693.20,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,04B,4S,5,1674.47,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,04C,4S,5,1655.74,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,04D,4S,5,1637.01,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,04E,4S,4,1618.28,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,05A,4S,4,1603.30,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,05B,4S,4,1588.31,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,05C,4S,4,1573.33,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,05D,4S,4,1558.34,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,05E,4S,4,1543.36,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,06A,4S,4,1532.12,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,06B,4S,4,1520.88,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,07A,4S,4,1509.65,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,08A,4S,4,1550.85,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,08B,4S,4,1494.66,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,08C,4S,5,1487.17,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,08D,4S,4,1479.68,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,09A,4S,4,1472.19,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,09B,4S,4,1464.69,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,09C,4S,3,1460.95,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,09D,4S,4,1457.20,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,10A,4S,4,1453.46,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,11A,4S,4,1442.22,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,11B,4S,4,1434.73,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,11C,4S,4,1427.23,846.60,790.41,442.03,58.84,22759969
DD,04/17/2017,IGT,4S,4,1138.79,674.28,633.08,363.36,58.84,22759969
DD,04/17/2017,OGT,4S,4,1165.01,674.28,633.08,363.36,58.84,22759969
DD,04/17/2017,VGT,4S,4,1206.22,674.28,633.08,363.36,58.84,22759969
DD,04/21/2017,00T,3S,5,2382.47,1123.81,983.33,526.79,58.84,22759970
DD,04/21/2017,00V,3S,5,1663.23,772.62,702.38,386.31,58.84,22759970
DD,04/21/2017,04A,3S,5,941.19,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,04B,3S,5,927.14,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,04C,3S,5,913.09,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,04D,3S,5,899.05,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,04E,3S,4,885.00,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,05A,3S,4,873.76,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,05B,3S,4,862.52,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,05C,3S,4,851.29,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,05D,3S,4,840.05,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,05E,3S,3,828.81,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,06A,3S,3,820.38,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,06B,3S,4,811.95,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,07A,3S,3,803.52,466.38,424.24,247.24,58.84,22759970
DD,04/21/2017,08A,3S,3,834.43,466.38,424.24,247.24,58.84,22759970
