Run_dat;Sail_Id;Long_Ship_Nam;Sail_Dat;Port_Cd;Port_Nam;Arrival_Tim;Departure_Tim;offset_day_nbr;Voyage_cd;Brochure_Product_Desc
20170628;33228;NORWEGIAN EPIC;20170628;CIV;CIVITAVECCHIA (ROME), ITALY;N/A;7:00 PM;0;EPC-20170628-07-CIV-CIV;Europe
20170628;33228;NORWEGIAN EPIC;20170628;LIV;LIVORNO (FLORENCE/PISA), ITALY;7:00 AM;7:00 PM;1;EPC-20170628-07-CIV-CIV;Europe
20170628;33228;NORWEGIAN EPIC;20170628;CEQ;CANNES, FRANCE;8:00 AM;6:00 PM;2;EPC-20170628-07-CIV-CIV;Europe
20170628;33228;NORWEGIAN EPIC;20170628;PMI;PALMA MAJORCA, SPAIN;1:00 PM;8:00 PM;3;EPC-20170628-07-CIV-CIV;Europe
20170628;33228;NORWEGIAN EPIC;20170628;BCN;BARCELONA, SPAIN;5:00 AM;6:00 PM;4;EPC-20170628-07-CIV-CIV;Europe
20170628;33228;NORWEGIAN EPIC;20170628;;AT SEA;N/A;N/A;5;EPC-20170628-07-CIV-CIV;Europe
20170628;33228;NORWEGIAN EPIC;20170628;NAP;NAPLES/POMPEII, ITALY;7:00 AM;7:00 PM;6;EPC-20170628-07-CIV-CIV;Europe
20170628;33228;NORWEGIAN EPIC;20170628;CIV;CIVITAVECCHIA (ROME), ITALY;6:00 AM;N/A;7;EPC-20170628-07-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;CIV;CIVITAVECCHIA (ROME), ITALY;N/A;5:00 PM;0;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;;AT SEA;N/A;N/A;1;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;JMK;MYKONOS, GREECE;12:00 PM;8:00 PM;2;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;PIR;PIRAEUS (ATHENS), GREECE;8:00 AM;5:00 PM;3;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;RHO;RHODES, GREECE;9:00 AM;5:00 PM;4;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;JTR;SANTORINI ISLAND, GREECE;8:00 AM;5:00 PM;5;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;CAA;CHANIA, GREECE;7:00 AM;12:00 PM;6;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;MLA;VALLETTA, MALTA;1:00 PM;9:00 PM;7;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;MSN;MESSINA, ITALY;8:00 AM;6:00 PM;8;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;NAP;NAPLES/POMPEII, ITALY;7:00 AM;7:00 PM;9;SPR-20170629-10-CIV-CIV;Europe
20170628;32990;NORWEGIAN SPIRIT;20170629;CIV;CIVITAVECCHIA (ROME), ITALY;6:00 AM;N/A;10;SPR-20170629-10-CIV-CIV;Europe
20170628;32827;NORWEGIAN DAWN;20170630;BOS;BOSTON, MA;N/A;4:00 PM;0;DWN-20170630-07-BOS-BOS;Bermuda
20170628;32827;NORWEGIAN DAWN;20170630;;AT SEA;N/A;N/A;1;DWN-20170630-07-BOS-BOS;Bermuda
20170628;32827;NORWEGIAN DAWN;20170630;WRF;ROYAL NAVAL DOCKYARD, BERMUDA;1:00 PM;N/A;2;DWN-20170630-07-BOS-BOS;Bermuda
20170628;32827;NORWEGIAN DAWN;20170630;WRF;ROYAL NAVAL DOCKYARD, BERMUDA;N/A;N/A;3;DWN-20170630-07-BOS-BOS;Bermuda
20170628;32827;NORWEGIAN DAWN;20170630;WRF;ROYAL NAVAL DOCKYARD, BERMUDA;N/A;5:30 PM;4;DWN-20170630-07-BOS-BOS;Bermuda
20170628;32827;NORWEGIAN DAWN;20170630;;AT SEA;N/A;N/A;5;DWN-20170630-07-BOS-BOS;Bermuda
20170628;32827;NORWEGIAN DAWN;20170630;;AT SEA;N/A;N/A;6;DWN-20170630-07-BOS-BOS;Bermuda
20170628;32827;NORWEGIAN DAWN;20170630;BOS;BOSTON, MA;8:00 AM;N/A;7;DWN-20170630-07-BOS-BOS;Bermuda
20170628;33385;NORWEGIAN GETAWAY;20170630;CPH;COPENHAGEN, DENMARK;N/A;5:00 PM;0;GWY-20170630-09-CPH-CPH;Europe
20170628;33385;NORWEGIAN GETAWAY;20170630;WAR;WARNEMUNDE (BERLIN), GERMANY;7:30 AM;10:00 PM;1;GWY-20170630-09-CPH-CPH;Europe
20170628;33385;NORWEGIAN GETAWAY;20170630;;AT SEA;N/A;N/A;2;GWY-20170630-09-CPH-CPH;Europe
20170628;33385;NORWEGIAN GETAWAY;20170630;TLL;TALLINN, ESTONIA;9:00 AM;4:30 PM;3;GWY-20170630-09-CPH-CPH;Europe
20170628;33385;NORWEGIAN GETAWAY;20170630;LED;ST. PETERSBURG, RUSSIAN FEDERATION;7:00 AM;N/A;4;GWY-20170630-09-CPH-CPH;Europe
20170628;33385;NORWEGIAN GETAWAY;20170630;LED;ST. PETERSBURG, RUSSIAN FEDERATION;N/A;7:00 PM;5;GWY-20170630-09-CPH-CPH;Europe
20170628;33385;NORWEGIAN GETAWAY;20170630;HEL;HELSINKI, FINLAND;7:00 AM;4:00 PM;6;GWY-20170630-09-CPH-CPH;Europe
20170628;33385;NORWEGIAN GETAWAY;20170630;NYN;NYNASHAMN (STOCKHOLM), SWEDEN;8:00 AM;7:00 PM;7;GWY-20170630-09-CPH-CPH;Europe
20170628;33385;NORWEGIAN GETAWAY;20170630;;AT SEA;N/A;N/A;8;GWY-20170630-09-CPH-CPH;Europe
20170628;33385;NORWEGIAN GETAWAY;20170630;CPH;COPENHAGEN, DENMARK;7:00 AM;N/A;9;GWY-20170630-09-CPH-CPH;Europe
20170628;33286;NORWEGIAN ESCAPE;20170701;MIA;MIAMI, FL;N/A;4:00 PM;0;ESC-20170701-07-MIA-MIA;Caribbean - Miami
