A6E70S  	000	SAT	SEA	SEATTLE             	0000	1600	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A6E70S  	001	SUN	***	AT SEA              	0000	0000	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A6E70S  	002	MON	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A6E70S  	003	TUE	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A6E70S  	004	WED	SIT	SITKA               	0700	1530	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A6E70S  	005	THU	KTN	KETCHIKAN           	0700	1300	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A6E70S  	006	FRI	YYJ	VICTORIA, CANADA    	1800	2359	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A6E70S  	007	SAT	SEA	SEATTLE             	0700	0000	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A6G07S  	000	SAT	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G07S  	001	SUN	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G07S  	002	MON	TAC	TRACY ARM INLET     	1000	1030	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G07S  	002	MON	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G07S  	003	TUE	SGY	SKAGWAY             	0700	2100	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G07S  	004	WED	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G07S  	005	THU	KTN	KETCHIKAN           	1000	1800	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G07S  	006	FRI	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G07S  	007	SAT	YVR	VANCOUVER           	0700	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G70S  	000	WED	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A6G70S  	001	THU	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
