A7N11S  	000	FRI	YVR	VANCOUVER           	0000	1700	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	004	TUE	467	TRANSIT DECISION PAS	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	005	WED	SIT	SITKA               	0800	1700	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	006	THU	HNS	HAINES              	0900	2000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	007	FRI	477	SCENIC CRUISING TRAC	0800	1800	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	008	SAT	JNU	JUNEAU              	0800	2300	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	009	SUN	GB1	GLACIER BAY         	0700	1700	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	010	MON	***	AT SEA              	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	011	TUE	SEW	SEWARD              	0700	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	000	FRI	466	TRANSIT THE SEYMOUR 	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	001	SAT	468	CRUISING THE QUEEN C	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	002	SUN	KTN	KETCHIKAN           	0800	2300	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	003	MON	RUD	RUDYERD BAY (MISTY F	0800	1800	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	003	MON	456	SCENIC CRUISING MIST	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	003	MON	476	SCENIC CRUISING BEHM	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	004	TUE	WRG	WRANGELL            	0800	1700	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11S  	004	TUE	464	SCENIC CRUISING SUMN	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	000	TUE	YVR	VANCOUVER           	0000	1700	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	004	SAT	467	TRANSIT DECISION PAS	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	005	SUN	GB1	GLACIER BAY         	1000	2000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	006	MON	477	SCENIC CRUISING TRAC	0800	1800	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	007	TUE	SE1	SEDUCTION POINT     	0500	0530	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	007	TUE	HNS	HAINES              	0800	1800	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	008	WED	JNU	JUNEAU              	0800	1700	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	009	THU	SIT	SITKA               	1000	1900	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	010	FRI	***	AT SEA              	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	011	SAT	SEW	SEWARD              	0700	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	000	TUE	466	TRANSIT THE SEYMOUR 	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	001	WED	468	CRUISING THE QUEEN C	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	002	THU	KTN	KETCHIKAN           	0800	2300	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	003	FRI	RUD	RUDYERD BAY (MISTY F	0800	1800	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	003	FRI	456	SCENIC CRUISING MIST	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	003	FRI	476	SCENIC CRUISING BEHM	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	004	SAT	WRG	WRANGELL            	0700	1600	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N11X  	004	SAT	464	SCENIC CRUISING SUMN	0000	0000	11-DAY ULTIMATE ALASKAN SOJOURN                                                	20170731
A7N12S  	000	SAT	YVR	VANCOUVER           	0000	1700	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	006	FRI	477	SCENIC CRUISING TRAC	0800	1800	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	007	SAT	467	TRANSIT DECISION PAS	0000	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	007	SAT	464	SCENIC CRUISING SUMN	0000	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	007	SAT	WRG	WRANGELL            	1000	1800	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	008	SUN	476	SCENIC CRUISING BEHM	0000	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	008	SUN	456	SCENIC CRUISING MIST	0000	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	008	SUN	RUD	RUDYERD BAY (MISTY F	0800	1800	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	009	MON	YPR	PRINCE RUPERT       	0800	1800	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
